iyear;imonth;iday;country;region;success;suicide;attacktype1;targtype1;targsubtype1;natlty1;guncertain1;weaptype1;individual;ransom;gname
1970;7;2;58;2;1;0;1;14;68;58;0;13;0;0;MANO-D
1970;0;0;130;1;1;0;6;7;45;21;0;13;0;1;23rd of September Communist League
1970;1;1;217;1;1;0;2;3;22;217;0;5;0;0;Black Nationalists
1970;1;2;218;3;0;0;1;3;25;218;0;5;0;0;Tupamaros (Uruguay)
1970;1;2;217;1;1;0;7;4;28;217;0;8;0;0;New Years Gang
1970;1;3;217;1;1;0;7;2;21;217;0;8;0;0;New Years Gang
1970;1;1;217;1;0;0;3;4;27;217;0;6;0;0;Weather Underground Weathermen
1970;1;6;217;1;1;0;7;4;28;217;0;8;0;0;Left-Wing Militants
1970;1;9;217;1;1;0;7;2;21;217;0;8;0;0;Left-Wing Militants
1970;1;9;217;1;1;0;7;1;7;217;1;8;0;0;Armed Commandos of Liberation
1970;1;10;499;9;1;0;3;2;0;75;0;6;0;0;Commune 1
1970;1;11;65;11;1;0;9;4;34;217;0;13;0;0;Eritrean Liberation Front
1970;1;12;217;1;1;0;3;8;49;217;0;6;0;0;Black Nationalists
1970;1;12;217;1;1;0;3;1;4;217;0;6;0;0;Strikers
1970;1;13;217;1;1;0;7;1;7;217;0;8;0;0;Black Nationalists
1970;1;14;217;1;1;0;7;3;22;217;0;8;0;0;Black Nationalists
1970;1;15;218;3;1;0;2;8;49;218;0;5;0;0;Tupamaros (Uruguay)
1970;1;19;217;1;1;0;3;8;49;217;1;6;0;0;Black Nationalists
1970;1;19;217;1;0;0;3;4;28;217;0;6;0;0;Student Radicals
1970;1;19;217;1;1;0;7;22;110;217;0;8;0;0;White extremists
1970;1;22;222;3;1;0;6;1;7;222;0;13;0;1;Armed Forces of National Liberation- Venezuela (FALN)
1970;1;22;217;1;1;0;3;14;76;217;0;6;0;0;Strikers
1970;1;25;217;1;1;0;7;14;71;217;0;8;0;0;White extremists
1970;1;25;217;1;1;0;2;3;25;217;0;5;0;0;Black Nationalists
1970;1;26;217;1;1;0;3;2;14;217;0;6;0;0;Black Nationalists
1970;1;26;217;1;1;0;2;3;23;217;0;5;0;0;Black Nationalists
1970;1;27;217;1;1;0;7;2;21;217;0;8;0;0;Left-Wing Militants
1970;1;28;217;1;1;0;3;15;86;217;0;6;0;0;White extremists
1970;1;30;217;1;1;0;3;20;0;217;0;6;0;0;Strikers
1970;1;30;217;1;1;0;3;1;7;217;0;6;0;0;Strikers
1970;1;30;217;1;1;0;7;4;28;217;0;8;0;0;Student Radicals
1970;1;31;160;5;0;0;9;4;34;217;0;13;0;0;New Peoples Army (NPA)
1970;2;1;217;1;1;0;7;2;21;217;0;8;0;0;Left-Wing Militants
1970;2;1;217;1;1;0;2;3;22;217;0;5;0;0;Black Nationalists
1970;2;4;217;1;1;0;3;14;73;217;0;6;0;0;Strikers
1970;2;6;217;1;1;0;3;19;99;217;0;6;0;0;Black Nationalists
1970;2;6;217;1;1;0;3;2;15;217;0;6;0;0;White extremists
1970;2;6;217;1;1;0;3;15;86;217;0;6;0;0;White extremists
1970;2;6;217;1;1;0;7;2;21;217;0;8;0;0;Armed Revolutionary Independence Movement (MIRA)
1970;2;6;217;1;1;0;7;21;107;217;0;8;0;0;Armed Revolutionary Independence Movement (MIRA)
1970;2;6;217;1;1;0;7;1;8;163;0;8;0;0;Armed Revolutionary Independence Movement (MIRA)
1970;2;6;217;1;1;0;7;4;28;217;0;8;0;0;Student Radicals
1970;2;7;217;1;1;0;7;8;49;217;0;8;0;0;Student Radicals
1970;2;8;217;1;1;0;3;1;4;217;0;6;0;0;Armed Revolutionary Independence Movement (MIRA)
1970;2;8;217;1;1;0;3;1;4;217;0;6;0;0;Armed Revolutionary Independence Movement (MIRA)
1970;2;9;217;1;0;0;3;1;4;217;0;6;0;0;Armed Revolutionary Independence Movement (MIRA)
1970;2;9;217;1;1;0;3;14;68;217;0;6;0;0;Strikers
1970;2;10;362;8;1;0;2;6;44;97;0;5;0;0;Popular Front for the Liberation of Palestine (PFLP)
1970;2;11;217;1;1;0;7;8;49;217;0;8;0;0;Student Radicals
1970;2;13;362;8;1;0;7;14;76;75;0;8;0;0;Popular Front for the Liberation of Palestine (PFLP)
1970;2;13;217;1;1;0;3;3;22;217;1;6;0;0;Black Nationalists
1970;2;15;217;1;1;0;3;1;3;217;0;6;0;0;Left-Wing Militants
1970;2;15;217;1;1;0;7;4;28;217;0;8;0;0;Student Radicals
1970;2;16;217;1;0;0;2;3;25;217;0;5;0;0;Left-Wing Militants
1970;2;17;217;1;1;0;3;8;49;217;0;6;0;0;White extremists
1970;2;17;217;1;0;0;3;4;27;217;0;6;0;0;Student Radicals
1970;2;18;217;1;1;0;3;3;25;217;0;6;0;0;Black Nationalists
1970;2;18;217;1;1;0;3;3;25;217;1;6;0;0;Black Nationalists
1970;2;20;217;1;1;0;7;2;14;217;0;8;0;0;Left-Wing Militants
1970;2;20;217;1;1;0;7;8;49;217;1;8;0;0;Student Radicals
